Parity,Beta,CILow,CIHigh,Model,Regression
P0,-0.460020698757076,-0.527639959410522,-0.392401438103629,Set 1,Linear
P1,0,0,0,Set 1,Linear
P2,0.314826961452907,0.220402360421275,0.409251562484538,Set 1,Linear
>=P3,-0.574927286583219,-0.72089409919162,-0.428960473974818,Set 1,Linear
P0,-0.342794822872335,-0.413760441145469,-0.2718292045992,Set 2,Linear
P1,0,0,0,Set 2,Linear
P2,0.342396801100213,0.2458998015592,0.438893800641226,Set 2,Linear
>=P3,-0.342086169357859,-0.495978864466464,-0.188193474249253,Set 2,Linear
P0,-0.437275951825408,-0.475246532687543,-0.399305370963273,Set 1,Linear mixed
P1,0,0,0,Set 1,Linear mixed
P2,0.427140445710418,0.374642369277859,0.479638522142977,Set 1,Linear mixed
>=P3,-0.130545015744393,-0.215214113459303,-0.045875918029484,Set 1,Linear mixed
P0,-0.293326576326533,-0.334377483003569,-0.252275669649497,Set 2,Linear mixed
P1,0,0,0,Set 2,Linear mixed
P2,0.367068394711137,0.311954033756986,0.422182755665288,Set 2,Linear mixed
>=P3,-0.132930873397198,-0.225133633792126,-0.04072811300227,Set 2,Linear mixed
P0,-0.315482942441066,-0.397649409403009,-0.233316475479124,Set 3,Linear
P1,0,0,0,Set 3,Linear
P2,0.249616433320084,0.140822510776476,0.358410355863693,Set 3,Linear
>=P3,-0.496673097643897,-0.672404435523848,-0.320941759763945,Set 3,Linear
P0,-0.24035056293446,-0.288434887802246,-0.192266238066675,Set 3,Linear mixed
P1,0,0,0,Set 3,Linear mixed
P2,0.307881986692747,0.243968516280836,0.371795457104657,Set 3,Linear mixed
>=P3,-0.246498707252971,-0.354376693095431,-0.138620721410511,Set 3,Linear mixed
