Parity,Beta,CILow,CIHigh,Model,Regression
P0,-0.40296424197605,-0.45163877519439,-0.354289708757709,Set 1,Linear
P1,0,0,0,Set 1,Linear
P2,0.0680430798995408,-0.00402068565180494,0.140106845450886,Set 1,Linear
>=P3,-0.855050323122636,-0.963839252369867,-0.746261393875405,Set 1,Linear
P0,-0.340757103902223,-0.391494769858488,-0.290019437945958,Set 2,Linear
P1,0,0,0,Set 2,Linear
P2,0.175571750644755,0.102282386387906,0.248861114901604,Set 2,Linear
>=P3,-0.411069366519987,-0.524537024233958,-0.297601708806017,Set 2,Linear
P0,-0.416703193029912,-0.44928287942942,-0.384123506630405,Set 1,Linear mixed
P1,0,0,0,Set 1,Linear mixed
P2,0.297839226662046,0.250581041611607,0.345097411712484,Set 1,Linear mixed
>=P3,-0.364420694732445,-0.439421112930634,-0.289420276534255,Set 1,Linear mixed
P0,-0.317536306729758,-0.35243370638405,-0.282638907075466,Set 2,Linear mixed
P1,0,0,0,Set 2,Linear mixed
P2,0.317083042336183,0.268072315305053,0.366093769367313,Set 2,Linear mixed
>=P3,-0.16172105472754,-0.241818740162687,-0.0816233692923928,Set 2,Linear mixed
P0,-0.179112080815114,-0.232881514125556,-0.125342647504671,Set 3,Linear
P1,0,0,0,Set 3,Linear
P2,0.16983612513249,0.0926440457197387,0.247028204545242,Set 3,Linear
>=P3,-0.608690750097907,-0.729406002764074,-0.487975497431741,Set 3,Linear
P0,-0.202937569573082,-0.241776719340094,-0.16409841980607,Set 3,Linear mixed
P1,0,0,0,Set 3,Linear mixed
P2,0.264879016101365,0.210488278441283,0.319269753761447,Set 3,Linear mixed
>=P3,-0.358047326315009,-0.447401093789816,-0.268693558840203,Set 3,Linear mixed
